timestamp;corpus_size;test_size;decomposition_size;cv;model_type;dataset;latent_r2_score;output_r2_score;sample_id;target;most_imp_corpus_id;most_imp_corpus_weight;most_imp_corpus_target;corpus_ids;corpus_weight;corpus_targets
2024-02-24-17:01:53;1000;100;10;0;ORIGINAL_COMPACT;MNIST;0.9777366965493269;0.9917617766068979;0;1;90;0.3370181;1;[90, 757, 99, 32, 463, 670, 139, 319, 55, 947];[0.3370181, 0.27793086, 0.09848117, 0.09333039, 0.07513088, 0.06314102, 0.044424154, 0.0036289224, 0.0014613348, 0.00077906053];[1, 1, 1, 6, 1, 1, 1, 1, 1, 1]
2024-02-24-17:02:31;1000;100;10;0;REIMPLEMENTED;MNIST;0.9672671568199911;0.9832360004290633;0;1;90;0.48969206;1;[90, 757, 359, 32, 463, 139, 99, 670, 319, 55];[0.48969206, 0.13649385, 0.09173674, 0.078175105, 0.061156105, 0.051735602, 0.037709124, 0.019040242, 0.0038191683, 0.0018348186];[1, 1, 1, 6, 1, 1, 1, 1, 1, 1]
2024-02-24-17:04:27;1000;100;10;1;ORIGINAL;MNIST;0.978474147773469;0.9928489738662266;0;1;501;0.54759765;1;[501, 314, 901, 758, 717, 222, 643, 163, 812, 10];[0.54759765, 0.17304568, 0.13609701, 0.060021736, 0.041735798, 0.025203427, 0.003935627, 0.0034780297, 0.0020631922, 0.0019508657];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:06:18;1000;100;10;1;ORIGINAL_COMPACT;MNIST;0.978474147773469;0.9928489738662266;0;1;501;0.54759765;1;[501, 314, 901, 758, 717, 222, 643, 163, 812, 10];[0.54759765, 0.17304568, 0.13609701, 0.060021736, 0.041735798, 0.025203427, 0.003935627, 0.0034780297, 0.0020631922, 0.0019508657];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:06:52;1000;100;10;1;REIMPLEMENTED;MNIST;0.9688323724652089;0.9848501352025238;0;1;501;0.47687104;1;[501, 901, 314, 49, 222, 758, 717, 486, 375, 704];[0.47687104, 0.10068544, 0.100327104, 0.041952867, 0.037784055, 0.03688268, 0.031986263, 0.020551397, 0.020457761, 0.013849848];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:08:47;1000;100;10;2;ORIGINAL;MNIST;0.9814617282551322;0.993896007911862;0;1;706;0.41756347;1;[706, 836, 673, 297, 683, 547, 151, 55, 514, 577];[0.41756347, 0.38397962, 0.08060011, 0.060324825, 0.039466307, 0.005756103, 0.0033432802, 0.0023832514, 0.0013100023, 0.0006995169];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:10:40;1000;100;10;2;ORIGINAL_COMPACT;MNIST;0.9814617282551322;0.993896007911862;0;1;706;0.41756347;1;[706, 836, 673, 297, 683, 547, 151, 55, 514, 577];[0.41756347, 0.38397962, 0.08060011, 0.060324825, 0.039466307, 0.005756103, 0.0033432802, 0.0023832514, 0.0013100023, 0.0006995169];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:11:21;1000;100;10;2;REIMPLEMENTED;MNIST;0.9727003241502186;0.9868286295977416;0;1;706;0.31223053;1;[706, 484, 297, 836, 673, 980, 683, 164, 463, 86];[0.31223053, 0.16702035, 0.16012186, 0.07897537, 0.07232585, 0.016156865, 0.015827676, 0.0125452485, 0.012525953, 0.011617616];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:13:27;1000;100;20;0;ORIGINAL;MNIST;0.9793048552919568;0.9923008486656816;0;1;90;0.4879539;1;[90, 757, 359, 32, 463, 99, 139, 670, 319, 952, 55, 459, 472, 930, 491, 881, 947, 29, 103, 67];[0.4879539, 0.15477453, 0.09074284, 0.08089492, 0.062036794, 0.041782707, 0.039704602, 0.023469971, 0.003501938, 0.0014344333, 0.0013912003, 0.0013461066, 0.0012611059, 0.001084935, 0.0010258778, 0.0010087956, 0.00082878175, 0.0007875676, 0.0007668218, 0.0004830559];[1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:15:37;1000;100;20;0;ORIGINAL_COMPACT;MNIST;0.9793048552919568;0.9923008486656816;0;1;90;0.4879539;1;[90, 757, 359, 32, 463, 99, 139, 670, 319, 952, 55, 459, 472, 930, 491, 881, 947, 29, 103, 67];[0.4879539, 0.15477453, 0.09074284, 0.08089492, 0.062036794, 0.041782707, 0.039704602, 0.023469971, 0.003501938, 0.0014344333, 0.0013912003, 0.0013461066, 0.0012611059, 0.001084935, 0.0010258778, 0.0010087956, 0.00082878175, 0.0007875676, 0.0007668218, 0.0004830559];[1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:16:17;1000;100;20;0;REIMPLEMENTED;MNIST;0.976459894251696;0.9897201108078525;0;1;90;0.48969206;1;[90, 757, 359, 32, 463, 139, 99, 670, 319, 55, 952, 459, 472, 491, 930, 881, 947, 29, 103, 223];[0.48969206, 0.13649385, 0.09173674, 0.078175105, 0.061156105, 0.051735602, 0.037709124, 0.019040242, 0.0038191683, 0.0018348186, 0.0016743473, 0.0015771049, 0.0015093245, 0.0013386363, 0.0012443826, 0.0012028388, 0.001120517, 0.0010821157, 0.001054559, 0.0008950553];[1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:18:23;1000;100;20;1;ORIGINAL;MNIST;0.9797555636555102;0.9935304577259491;0;1;501;0.39738104;1;[501, 901, 314, 49, 375, 222, 717, 758, 704, 478, 643, 242, 163, 898, 63, 812, 10, 776, 76, 395];[0.39738104, 0.13097352, 0.09997702, 0.08680684, 0.057537656, 0.052372344, 0.048274938, 0.038570073, 0.02118052, 0.018928034, 0.010130491, 0.007953405, 0.007000289, 0.004176895, 0.0032967033, 0.003187828, 0.002797753, 0.0026247979, 0.0019476935, 0.0006420007];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:20:21;1000;100;20;1;ORIGINAL_COMPACT;MNIST;0.9797555636555102;0.9935304577259491;0;1;501;0.39738104;1;[501, 901, 314, 49, 375, 222, 717, 758, 704, 478, 643, 242, 163, 898, 63, 812, 10, 776, 76, 395];[0.39738104, 0.13097352, 0.09997702, 0.08680684, 0.057537656, 0.052372344, 0.048274938, 0.038570073, 0.02118052, 0.018928034, 0.010130491, 0.007953405, 0.007000289, 0.004176895, 0.0032967033, 0.003187828, 0.002797753, 0.0026247979, 0.0019476935, 0.0006420007];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:20:59;1000;100;20;1;REIMPLEMENTED;MNIST;0.9774655216391979;0.9912217912844389;0;1;501;0.47687104;1;[501, 901, 314, 49, 222, 758, 717, 486, 375, 704, 200, 643, 163, 478, 242, 663, 812, 10, 898, 910];[0.47687104, 0.10068544, 0.100327104, 0.041952867, 0.037784055, 0.03688268, 0.031986263, 0.020551397, 0.020457761, 0.013849848, 0.010350679, 0.009336432, 0.009080925, 0.008396337, 0.008037317, 0.005361641, 0.004945632, 0.0040829396, 0.0040744697, 0.003464761];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:23:06;1000;100;20;2;ORIGINAL;MNIST;0.9826905687475471;0.9943808179116544;0;1;706;0.2770451;1;[706, 484, 297, 836, 673, 86, 683, 460, 90, 547, 540, 151, 648, 694, 514, 55, 558, 814, 577, 837];[0.2770451, 0.22016814, 0.14026499, 0.10172838, 0.090597734, 0.038625035, 0.03304499, 0.029133733, 0.020372353, 0.01497508, 0.007658219, 0.006765719, 0.003819718, 0.0027575204, 0.0025899601, 0.0022894987, 0.0015038287, 0.0012301822, 0.0010114794, 0.0004589575];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:25:06;1000;100;20;2;ORIGINAL_COMPACT;MNIST;0.9826905687475471;0.9943808179116544;0;1;706;0.2770451;1;[706, 484, 297, 836, 673, 86, 683, 460, 90, 547, 540, 151, 648, 694, 514, 55, 558, 814, 577, 837];[0.2770451, 0.22016814, 0.14026499, 0.10172838, 0.090597734, 0.038625035, 0.03304499, 0.029133733, 0.020372353, 0.01497508, 0.007658219, 0.006765719, 0.003819718, 0.0027575204, 0.0025899601, 0.0022894987, 0.0015038287, 0.0012301822, 0.0010114794, 0.0004589575];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:25:50;1000;100;20;2;REIMPLEMENTED;MNIST;0.9799757949855454;0.9919644677257496;0;1;706;0.31223053;1;[706, 484, 297, 836, 673, 980, 683, 164, 463, 86, 547, 90, 151, 460, 468, 191, 540, 514, 592, 349];[0.31223053, 0.16702035, 0.16012186, 0.07897537, 0.07232585, 0.016156865, 0.015827676, 0.0125452485, 0.012525953, 0.011617616, 0.011404929, 0.009826811, 0.008522514, 0.006870254, 0.005265909, 0.005120062, 0.0050540287, 0.0040794252, 0.003075285, 0.0029422112];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1]
2024-02-24-17:27:57;1000;100;50;0;ORIGINAL;MNIST;0.9794732927637139;0.9923366584814696;0;1;90;0.48171738;1;[90, 757, 359, 32, 463, 139, 99, 670, 319, 55, 952, 459, 472, 491, 930, 881, 947, 29, 103, 223, 41, 67, 908, 171, 678, 700, 392, 705, 883, 304, 589, 45, 137, 30, 11, 398, 449, 489, 146, 621, 785, 366, 714, 618, 420, 516, 498, 929, 576, 390];[0.48171738, 0.15058967, 0.0873547, 0.07968131, 0.0644146, 0.050949316, 0.039872713, 0.02056542, 0.003345754, 0.0014963673, 0.0014060106, 0.0012892598, 0.0012236048, 0.0010911956, 0.001024097, 0.00097218767, 0.0008899512, 0.0008660846, 0.0008389338, 0.0007657926, 0.000651574, 0.0004976129, 0.00047605496, 0.00046033302, 0.0003625677, 0.0003406338, 0.0003346904, 0.00032987553, 0.00025915462, 0.00020764106, 0.00020022155, 0.00020013296, 0.00019473313, 0.00019322924, 0.00019291198, 0.00019239295, 0.00018861757, 0.00018801684, 0.00018628612, 0.00017985473, 0.00015851475, 0.00014509237, 0.00013516178, 0.00013486577, 0.00013248384, 0.00012771915, 0.00012013573, 0.00011595307, 0.000106309686, 9.2494e-05];[1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 8]
2024-02-24-17:29:55;1000;100;50;0;ORIGINAL_COMPACT;MNIST;0.9794732927637139;0.9923366584814696;0;1;90;0.48171738;1;[90, 757, 359, 32, 463, 139, 99, 670, 319, 55, 952, 459, 472, 491, 930, 881, 947, 29, 103, 223, 41, 67, 908, 171, 678, 700, 392, 705, 883, 304, 589, 45, 137, 30, 11, 398, 449, 489, 146, 621, 785, 366, 714, 618, 420, 516, 498, 929, 576, 390];[0.48171738, 0.15058967, 0.0873547, 0.07968131, 0.0644146, 0.050949316, 0.039872713, 0.02056542, 0.003345754, 0.0014963673, 0.0014060106, 0.0012892598, 0.0012236048, 0.0010911956, 0.001024097, 0.00097218767, 0.0008899512, 0.0008660846, 0.0008389338, 0.0007657926, 0.000651574, 0.0004976129, 0.00047605496, 0.00046033302, 0.0003625677, 0.0003406338, 0.0003346904, 0.00032987553, 0.00025915462, 0.00020764106, 0.00020022155, 0.00020013296, 0.00019473313, 0.00019322924, 0.00019291198, 0.00019239295, 0.00018861757, 0.00018801684, 0.00018628612, 0.00017985473, 0.00015851475, 0.00014509237, 0.00013516178, 0.00013486577, 0.00013248384, 0.00012771915, 0.00012013573, 0.00011595307, 0.000106309686, 9.2494e-05];[1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 8]
2024-02-24-17:30:30;1000;100;50;0;REIMPLEMENTED;MNIST;0.9789844415678121;0.9917493183914793;0;1;90;0.48969206;1;[90, 757, 359, 32, 463, 139, 99, 670, 319, 55, 952, 459, 472, 491, 930, 881, 947, 29, 103, 223, 41, 67, 908, 171, 678, 700, 705, 392, 883, 304, 30, 45, 589, 137, 398, 11, 449, 489, 146, 621, 785, 366, 618, 714, 420, 516, 676, 498, 929, 576];[0.48969206, 0.13649385, 0.09173674, 0.078175105, 0.061156105, 0.051735602, 0.037709124, 0.019040242, 0.0038191683, 0.0018348186, 0.0016743473, 0.0015771049, 0.0015093245, 0.0013386363, 0.0012443826, 0.0012028388, 0.001120517, 0.0010821157, 0.001054559, 0.0008950553, 0.0008031768, 0.0006322724, 0.0005879354, 0.00057970494, 0.00046713772, 0.00042839974, 0.00042383737, 0.00041669456, 0.0003372737, 0.00027077412, 0.0002640835, 0.00026168875, 0.00026101494, 0.00025442918, 0.00025223094, 0.00024752223, 0.0002459028, 0.00024395519, 0.00024144944, 0.00023738328, 0.00020690785, 0.000190611, 0.0001786887, 0.00017830126, 0.00017568559, 0.00016856754, 0.0001648231, 0.00015951849, 0.0001520456, 0.00014163763];[1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 6, 1, 1, 1]
2024-02-24-17:32:22;1000;100;50;1;ORIGINAL;MNIST;0.9799588467601369;0.9935791593996178;0;1;501;0.46688947;1;[501, 901, 314, 49, 222, 717, 758, 375, 486, 704, 478, 200, 643, 163, 242, 663, 812, 910, 898, 10, 63, 243, 776, 76, 743, 575, 335, 488, 6, 395, 796, 261, 585, 135, 947, 893, 142, 813, 212, 391, 616, 956, 493, 593, 455, 367, 22, 120, 824, 272];[0.46688947, 0.1133347, 0.10112091, 0.055187557, 0.046453156, 0.03672442, 0.035331205, 0.025089035, 0.022276768, 0.013789392, 0.009218462, 0.008886449, 0.008825017, 0.0070879124, 0.006692907, 0.0040432494, 0.003424029, 0.003406061, 0.003122601, 0.0029660745, 0.0025202835, 0.002351414, 0.0022210889, 0.0020504117, 0.0010581368, 0.0009544748, 0.0008124138, 0.00076404423, 0.00075298257, 0.0007007394, 0.00068905577, 0.00064087834, 0.00060789275, 0.00054648373, 0.00054644205, 0.00051473436, 0.00048992183, 0.00045021102, 0.00041684022, 0.0004029499, 0.00040192576, 0.00039391036, 0.00037951616, 0.00037672275, 0.00035551353, 0.00033030767, 0.00031149824, 0.00028774704, 0.0002854257, 0.0002585989];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:34:05;1000;100;50;1;ORIGINAL_COMPACT;MNIST;0.9799588467601369;0.9935791593996178;0;1;501;0.46688947;1;[501, 901, 314, 49, 222, 717, 758, 375, 486, 704, 478, 200, 643, 163, 242, 663, 812, 910, 898, 10, 63, 243, 776, 76, 743, 575, 335, 488, 6, 395, 796, 261, 585, 135, 947, 893, 142, 813, 212, 391, 616, 956, 493, 593, 455, 367, 22, 120, 824, 272];[0.46688947, 0.1133347, 0.10112091, 0.055187557, 0.046453156, 0.03672442, 0.035331205, 0.025089035, 0.022276768, 0.013789392, 0.009218462, 0.008886449, 0.008825017, 0.0070879124, 0.006692907, 0.0040432494, 0.003424029, 0.003406061, 0.003122601, 0.0029660745, 0.0025202835, 0.002351414, 0.0022210889, 0.0020504117, 0.0010581368, 0.0009544748, 0.0008124138, 0.00076404423, 0.00075298257, 0.0007007394, 0.00068905577, 0.00064087834, 0.00060789275, 0.00054648373, 0.00054644205, 0.00051473436, 0.00048992183, 0.00045021102, 0.00041684022, 0.0004029499, 0.00040192576, 0.00039391036, 0.00037951616, 0.00037672275, 0.00035551353, 0.00033030767, 0.00031149824, 0.00028774704, 0.0002854257, 0.0002585989];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:34:41;1000;100;50;1;REIMPLEMENTED;MNIST;0.9794735754018921;0.9929802338312754;0;1;501;0.47687104;1;[501, 901, 314, 49, 222, 758, 717, 486, 375, 704, 200, 643, 163, 478, 242, 663, 812, 10, 898, 910, 63, 776, 243, 76, 743, 575, 335, 488, 6, 796, 395, 585, 261, 947, 135, 142, 893, 813, 884, 781, 212, 616, 391, 156, 493, 593, 956, 440, 455, 50];[0.47687104, 0.10068544, 0.100327104, 0.041952867, 0.037784055, 0.03688268, 0.031986263, 0.020551397, 0.020457761, 0.013849848, 0.010350679, 0.009336432, 0.009080925, 0.008396337, 0.008037317, 0.005361641, 0.004945632, 0.0040829396, 0.0040744697, 0.003464761, 0.0032211288, 0.0028591082, 0.0028448857, 0.0027831828, 0.0015510538, 0.0014246103, 0.0012351075, 0.0011086314, 0.0010912329, 0.0010604514, 0.0010522173, 0.00097382395, 0.00095601816, 0.0008671539, 0.00084187905, 0.0007652424, 0.00076430594, 0.0007197726, 0.0007142724, 0.0006716495, 0.00065798254, 0.0006245259, 0.0006240737, 0.00062377384, 0.00060888147, 0.0006041863, 0.0005955441, 0.00058014994, 0.0005564709, 0.00053810293];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-24-17:36:35;1000;100;50;2;ORIGINAL;MNIST;0.9830327239686655;0.9945250788886097;0;1;706;0.28022042;1;[706, 484, 297, 673, 836, 980, 463, 164, 683, 86, 547, 90, 191, 460, 468, 151, 540, 349, 749, 514, 592, 694, 55, 648, 172, 558, 165, 577, 716, 93, 814, 580, 299, 769, 59, 779, 89, 907, 1, 475, 923, 579, 647, 722, 837, 471, 423, 877, 314, 443];[0.28022042, 0.16873518, 0.1394677, 0.098075114, 0.083909295, 0.03493266, 0.023942912, 0.02377931, 0.020461323, 0.018759996, 0.016029237, 0.010364883, 0.009338796, 0.00922941, 0.007845462, 0.0075414907, 0.0050070137, 0.0036489244, 0.003290926, 0.0032826762, 0.0031914308, 0.0026562014, 0.002007767, 0.0017897772, 0.0016240982, 0.0014994498, 0.0014781724, 0.0012370124, 0.0011630824, 0.0011547275, 0.001113316, 0.00097455276, 0.00084083714, 0.0007638986, 0.0007092978, 0.00064663094, 0.00063913764, 0.0005796163, 0.00054347457, 0.00049278734, 0.00049106654, 0.00048529406, 0.00047116427, 0.0004607265, 0.00045160047, 0.0003659588, 0.00034942088, 0.0003384153, 0.00033558707, 0.00033267017];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1]
2024-02-24-17:38:26;1000;100;50;2;ORIGINAL_COMPACT;MNIST;0.9830327239686655;0.9945250788886097;0;1;706;0.28022042;1;[706, 484, 297, 673, 836, 980, 463, 164, 683, 86, 547, 90, 191, 460, 468, 151, 540, 349, 749, 514, 592, 694, 55, 648, 172, 558, 165, 577, 716, 93, 814, 580, 299, 769, 59, 779, 89, 907, 1, 475, 923, 579, 647, 722, 837, 471, 423, 877, 314, 443];[0.28022042, 0.16873518, 0.1394677, 0.098075114, 0.083909295, 0.03493266, 0.023942912, 0.02377931, 0.020461323, 0.018759996, 0.016029237, 0.010364883, 0.009338796, 0.00922941, 0.007845462, 0.0075414907, 0.0050070137, 0.0036489244, 0.003290926, 0.0032826762, 0.0031914308, 0.0026562014, 0.002007767, 0.0017897772, 0.0016240982, 0.0014994498, 0.0014781724, 0.0012370124, 0.0011630824, 0.0011547275, 0.001113316, 0.00097455276, 0.00084083714, 0.0007638986, 0.0007092978, 0.00064663094, 0.00063913764, 0.0005796163, 0.00054347457, 0.00049278734, 0.00049106654, 0.00048529406, 0.00047116427, 0.0004607265, 0.00045160047, 0.0003659588, 0.00034942088, 0.0003384153, 0.00033558707, 0.00033267017];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1]
2024-02-24-17:39:03;1000;100;50;2;REIMPLEMENTED;MNIST;0.9825837722062117;0.9939829754344535;0;1;706;0.31223053;1;[706, 484, 297, 836, 673, 980, 683, 164, 463, 86, 547, 90, 151, 460, 468, 191, 540, 514, 592, 349, 694, 55, 749, 648, 172, 558, 577, 814, 656, 200, 165, 716, 93, 794, 580, 299, 87, 769, 199, 59, 89, 660, 197, 319, 779, 1, 907, 647, 837, 215];[0.31223053, 0.16702035, 0.16012186, 0.07897537, 0.07232585, 0.016156865, 0.015827676, 0.0125452485, 0.012525953, 0.011617616, 0.011404929, 0.009826811, 0.008522514, 0.006870254, 0.005265909, 0.005120062, 0.0050540287, 0.0040794252, 0.003075285, 0.0029422112, 0.0029303606, 0.0027271435, 0.002573293, 0.0023371228, 0.00202739, 0.0019791792, 0.0019595595, 0.0016681699, 0.0016631931, 0.0016263587, 0.0016004582, 0.0014718642, 0.0014562572, 0.0013805841, 0.0013714272, 0.0012888202, 0.0012577281, 0.0012212776, 0.0012147877, 0.0011059287, 0.0010813123, 0.0010755148, 0.0010665336, 0.0010414618, 0.00094057375, 0.0009180488, 0.00086816965, 0.0008379889, 0.0008323185, 0.0008282253];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2024-02-25-07:47:05;1000;100;3;0;ORIGINAL;MNIST;0.9561584094471793;0.9785921350643937;0;1;757;0.83648676;1;[757, 90, 139];[0.83648676, 0.13529223, 0.021867245];[1, 1, 1]
2024-02-25-07:48:20;1000;100;3;0;ORIGINAL_COMPACT;MNIST;0.9561584094471793;0.9785921350643937;0;1;757;0.83648676;1;[757, 90, 139];[0.83648676, 0.13529223, 0.021867245];[1, 1, 1]
2024-02-25-07:48:46;1000;100;3;0;REIMPLEMENTED;MNIST;0.7580907096614853;0.851059983911146;0;1;90;0.48969206;1;[90, 757, 359];[0.48969206, 0.13649385, 0.09173674];[1, 1, 1]
2024-02-25-08:14:55;1000;100;3;1;ORIGINAL;MNIST;0.9595612719791614;0.9794807716268134;0;1;222;0.9041575;1;[222, 163, 812];[0.9041575, 0.08480641, 0.0031993333];[1, 1, 1]
